,volume,market_cap,high,low,close,open,date,log_diff,target
161,2558765.69804,2558765.69804,317.97,278.32,293.98,281.38,18-05-2021 17:00:00,0.043805668864774105,1
162,2079261.84526,2079261.84526,296.34,261.27,281.53,295.89,17-05-2021 17:00:00,-0.049748749796594716,0
163,1693568.12752,1693568.12752,323.95,279.66,295.89,300.22,16-05-2021 17:00:00,-0.014527775598018877,0
164,1486176.50537,1486176.50537,332.0,296.17,300.3,326.24,15-05-2021 17:00:00,-0.08285133183686089,0
165,1482325.51445,1482325.51445,338.85,307.96,326.23,317.95,14-05-2021 17:00:00,0.025708516362407785,1
166,2979065.55728,2979065.55728,332.73,291.0,317.95,310.4,13-05-2021 17:00:00,0.024032349404352615,1
167,2537826.91562,2537826.91562,394.37,301.0,310.4,377.8,12-05-2021 17:00:00,-0.19650316675834567,0
168,2031121.35038,2031121.35038,379.72,345.0,377.6,358.93,11-05-2021 17:00:00,0.05070805086774577,1
169,3830553.73813,3830553.73813,413.49,333.68,358.89,387.77,10-05-2021 17:00:00,-0.07739644550159053,0
170,2292100.05852,2292100.05852,389.0,333.51,387.8,347.17,09-05-2021 17:00:00,0.11067516928548304,1
171,1327716.1907,1327716.1907,356.68,334.0,347.1,344.89,08-05-2021 17:00:00,0.0063873972565557935,1
172,2822668.46597,2822668.46597,374.5,333.33,344.89,354.52,07-05-2021 17:00:00,-0.027539236259012334,0
173,2752093.00755,2752093.00755,364.93,318.0,354.67,356.03,06-05-2021 17:00:00,-0.0038272172789080017,0
174,3748897.98686,3748897.98686,360.0,300.52,356.04,305.24,05-05-2021 17:00:00,0.15394473166929856,1
175,3939316.56899,3939316.56899,327.68,270.0,305.23,294.73,04-05-2021 17:00:00,0.03500590777712986,1
176,1427253.57143,1427253.57143,299.72,268.44,294.87,268.83,03-05-2021 17:00:00,0.09245537168241036,1
177,656429.21428,656429.21428,277.47,264.7,268.88,276.77,02-05-2021 17:00:00,-0.028921652950073984,0
178,759685.23196,759685.23196,278.58,265.9,276.78,271.14,01-05-2021 17:00:00,0.02058767414654117,1
179,759685.23196,759685.23196,278.58,265.9,276.78,271.14,01-05-2021 17:00:00,0.02058767414654117,1
180,1037748.69625,1037748.69625,273.58,252.61,271.13,255.31,30-04-2021 17:00:00,0.06011991757046964,1
181,877558.7853,877558.7853,262.89,248.16,255.31,258.5,29-04-2021 17:00:00,-0.012417200863767519,0
182,1014038.43734,1014038.43734,266.94,247.58,258.51,259.77,28-04-2021 17:00:00,-0.00486224620803366,0
183,1014038.43734,1014038.43734,266.94,247.58,258.51,259.77,28-04-2021 17:00:00,-0.00486224620803366,0
184,1114182.69248,1114182.69248,263.15,243.63,259.77,247.4,27-04-2021 17:00:00,0.04879016416943127,1
185,1114182.69248,1114182.69248,263.15,243.63,259.77,247.4,27-04-2021 17:00:00,0.04879016416943127,1
186,1236470.27391,1236470.27391,248.2,221.24,247.42,223.9,26-04-2021 17:00:00,0.09988777382997682,1
187,928460.2198,928460.2198,235.8,210.73,223.88,224.76,25-04-2021 17:00:00,-0.003922972220838261,0
188,1152968.01885,1152968.01885,241.41,220.34,224.75,241.31,24-04-2021 17:00:00,-0.0710937406087,0
189,2866031.89172,2866031.89172,257.15,206.89,241.31,252.6,23-04-2021 17:00:00,-0.04572479595596057,0
190,2858792.51437,2858792.51437,289.61,239.0,252.5,257.63,22-04-2021 17:00:00,-0.02011319836121661,0
191,1841080.20554,1841080.20554,277.0,250.75,257.69,260.73,21-04-2021 17:00:00,-0.011728077023882122,0
192,2111225.32553,2111225.32553,272.8,234.31,260.68,261.47,20-04-2021 17:00:00,-0.0030259527062934666,0
193,1973511.87573,1973511.87573,284.39,250.21,261.38,273.35,19-04-2021 17:00:00,-0.04477773817211883,0
194,3346589.56812,3346589.56812,304.83,231.1,273.36,300.87,18-04-2021 17:00:00,-0.09588866996119005,0
195,2574519.6355,2574519.6355,335.69,296.75,300.86,308.39,17-04-2021 17:00:00,-0.02472017547225125,0
196,3150447.99928,3150447.99928,317.09,265.5,308.43,285.64,16-04-2021 17:00:00,0.07676263654182769,1
197,1409760.53776,1409760.53776,290.9,266.0,285.63,278.8,15-04-2021 17:00:00,0.024202588079340615,1
198,1989435.79148,1989435.79148,283.0,255.0,278.86,267.61,14-04-2021 17:00:00,0.0411791670032402,1
199,1931888.55344,1931888.55344,273.54,244.36,267.59,244.44,13-04-2021 17:00:00,0.09048607832133992,1
200,1370860.1631,1370860.1631,259.94,240.01,244.42,252.35,12-04-2021 17:00:00,-0.031928955776416856,0
