,volume,market_cap,high,low,close,open,date
176,1427253.57143,1427253.57143,299.72,268.44,294.87,268.83,03-05-2021 17:00:00
177,656429.21428,656429.21428,277.47,264.7,268.88,276.77,02-05-2021 17:00:00
178,759685.23196,759685.23196,278.58,265.9,276.78,271.14,01-05-2021 17:00:00
179,759685.23196,759685.23196,278.58,265.9,276.78,271.14,01-05-2021 17:00:00
180,1037748.69625,1037748.69625,273.58,252.61,271.13,255.31,30-04-2021 17:00:00
181,877558.7853,877558.7853,262.89,248.16,255.31,258.5,29-04-2021 17:00:00
182,1014038.43734,1014038.43734,266.94,247.58,258.51,259.77,28-04-2021 17:00:00
183,1014038.43734,1014038.43734,266.94,247.58,258.51,259.77,28-04-2021 17:00:00
184,1114182.69248,1114182.69248,263.15,243.63,259.77,247.4,27-04-2021 17:00:00
185,1114182.69248,1114182.69248,263.15,243.63,259.77,247.4,27-04-2021 17:00:00
186,1236470.27391,1236470.27391,248.2,221.24,247.42,223.9,26-04-2021 17:00:00
187,928460.2198,928460.2198,235.8,210.73,223.88,224.76,25-04-2021 17:00:00
188,1152968.01885,1152968.01885,241.41,220.34,224.75,241.31,24-04-2021 17:00:00
189,2866031.89172,2866031.89172,257.15,206.89,241.31,252.6,23-04-2021 17:00:00
190,2858792.51437,2858792.51437,289.61,239.0,252.5,257.63,22-04-2021 17:00:00
191,1841080.20554,1841080.20554,277.0,250.75,257.69,260.73,21-04-2021 17:00:00
192,2111225.32553,2111225.32553,272.8,234.31,260.68,261.47,20-04-2021 17:00:00
193,1973511.87573,1973511.87573,284.39,250.21,261.38,273.35,19-04-2021 17:00:00
194,3346589.56812,3346589.56812,304.83,231.1,273.36,300.87,18-04-2021 17:00:00
195,2574519.6355,2574519.6355,335.69,296.75,300.86,308.39,17-04-2021 17:00:00
196,3150447.99928,3150447.99928,317.09,265.5,308.43,285.64,16-04-2021 17:00:00
197,1409760.53776,1409760.53776,290.9,266.0,285.63,278.8,15-04-2021 17:00:00
198,1989435.79148,1989435.79148,283.0,255.0,278.86,267.61,14-04-2021 17:00:00
199,1931888.55344,1931888.55344,273.54,244.36,267.59,244.44,13-04-2021 17:00:00
200,1370860.1631,1370860.1631,259.94,240.01,244.42,252.35,12-04-2021 17:00:00
201,1890765.80129,1890765.80129,263.62,244.77,252.31,256.55,11-04-2021 17:00:00
202,1859281.88304,1859281.88304,257.0,219.16,256.34,221.13,10-04-2021 17:00:00
203,688918.8215,688918.8215,228.99,218.72,221.12,226.17,09-04-2021 17:00:00
204,1074942.89645,1074942.89645,228.21,216.89,226.11,219.22,08-04-2021 17:00:00
205,2263475.4652,2263475.4652,242.99,210.77,219.05,236.96,07-04-2021 17:00:00
206,2444849.53403,2444849.53403,244.59,212.97,237.04,221.48,06-04-2021 17:00:00
207,1329743.7613,1329743.7613,225.47,198.07,221.48,202.24,05-04-2021 17:00:00
208,565154.10714,565154.10714,204.92,192.22,202.21,195.17,04-04-2021 17:00:00
209,956126.60492,956126.60492,217.97,194.85,195.23,211.44,03-04-2021 17:00:00
210,956126.60492,956126.60492,217.97,194.85,195.23,211.44,03-04-2021 17:00:00
211,942970.73038,942970.73038,213.77,200.78,211.46,202.87,02-04-2021 17:00:00
212,876741.40869,876741.40869,205.0,194.0,202.86,196.69,01-04-2021 17:00:00
213,698229.63786,698229.63786,198.99,187.0,196.7,195.71,31-03-2021 17:00:00
214,932290.6498,932290.6498,200.09,190.34,195.74,193.73,30-03-2021 17:00:00
215,904774.30423,904774.30423,197.6,182.45,193.73,184.22,29-03-2021 17:00:00
216,380545.16211,380545.16211,187.29,180.0,184.24,184.06,28-03-2021 17:00:00
217,475886.83873,475886.83873,186.12,177.75,184.06,183.44,27-03-2021 17:00:00
218,721838.20194,721838.20194,183.82,171.44,183.45,171.53,26-03-2021 17:00:00
219,956666.86464,956666.86464,179.03,167.86,171.53,176.05,25-03-2021 17:00:00
220,1189902.97985,1189902.97985,197.17,172.0,176.05,185.82,24-03-2021 17:00:00
221,638849.27686,638849.27686,189.44,181.12,185.83,185.69,23-03-2021 17:00:00
222,725506.72916,725506.72916,199.0,184.42,185.67,195.33,22-03-2021 17:00:00
223,581731.80679,581731.80679,202.0,192.0,195.31,200.16,21-03-2021 17:00:00
224,473637.43878,473637.43878,206.1,198.82,200.17,199.96,20-03-2021 17:00:00
225,536877.41275,536877.41275,205.0,195.81,199.96,199.72,19-03-2021 17:00:00
226,536877.41275,536877.41275,205.0,195.81,199.96,199.72,19-03-2021 17:00:00
227,774419.42586,774419.42586,208.25,199.13,199.7,205.96,18-03-2021 17:00:00
228,885644.66746,885644.66746,206.94,194.13,205.98,201.61,17-03-2021 17:00:00
229,1063051.80222,1063051.80222,205.53,191.15,201.6,200.59,16-03-2021 17:00:00
230,1413381.72445,1413381.72445,222.58,197.56,200.59,214.0,15-03-2021 17:00:00
231,981380.1209,981380.1209,203.54,191.03,201.36,200.29,11-03-2021 17:00:00
232,1422079.58464,1422079.58464,208.0,191.47,200.29,203.8,10-03-2021 17:00:00
233,1485337.09208,1485337.09208,194.4,176.83,180.67,187.7,04-03-2021 17:00:00
234,1873295.01116,1873295.01116,196.49,176.79,187.64,179.06,03-03-2021 17:00:00
235,1441741.00235,1441741.00235,185.32,170.69,179.08,175.9,02-03-2021 17:00:00
236,1216268.49518,1216268.49518,176.46,163.3,175.89,165.27,01-03-2021 17:00:00
237,1682228.22219,1682228.22219,173.42,152.88,165.22,171.75,28-02-2021 17:00:00
238,2180233.25143,2180233.25143,182.86,162.74,170.25,179.36,26-02-2021 17:00:00
239,1961972.0422,1961972.0422,205.21,175.0,179.36,181.43,25-02-2021 17:00:00
240,1766938.56965,1766938.56965,158.68,141.03,145.07,155.94,04-02-2021 17:00:00
241,1820822.28924,1820822.28924,156.7,141.92,155.93,141.96,03-02-2021 17:00:00
242,1884558.49538,1884558.49538,145.82,131.87,141.98,131.99,02-02-2021 17:00:00
243,1167609.37029,1167609.37029,136.63,125.95,132.0,129.37,01-02-2021 17:00:00
244,917993.35191,917993.35191,135.06,125.67,129.36,133.35,31-01-2021 17:00:00
245,1240323.68178,1240323.68178,134.96,118.13,122.44,134.69,27-01-2021 17:00:00
246,1093141.08136,1093141.08136,139.76,127.85,134.67,137.07,26-01-2021 17:00:00
247,1380902.3935,1380902.3935,147.87,136.62,137.07,141.01,25-01-2021 17:00:00
248,917459.85058,917459.85058,142.65,133.73,141.01,137.66,24-01-2021 17:00:00
249,969988.56158,969988.56158,143.52,135.05,137.67,137.65,23-01-2021 17:00:00
250,1979078.0056,1979078.0056,141.85,122.7,137.66,129.7,22-01-2021 17:00:00
251,2114912.93172,2114912.93172,150.25,125.64,129.72,149.67,21-01-2021 17:00:00
252,2288798.47777,2288798.47777,166.02,150.18,151.86,151.97,19-01-2021 17:00:00
